name,country_code
Cirò,IT
Colli Orientali del Friuli,IT
Collio,IT
Conegliano Valdobbiadene,IT
Etna,IT
Fiano di Avellino,IT
Franciacorta,IT
Friuli-Venezia Giulia,IT
Gavi,IT
Greco di Tufo,IT
Langhe,IT
Lombardia,IT
Maremma Toscana,IT
Marche,IT
Marsala,IT
Moscato d'Asti,IT
Piemonte,IT
Prosecco,IT
Puglia,IT
Roero,IT
Sagrantino di Montefalco,IT
Sardegna,IT
Sicilia,IT
Soave,IT
Taurasi,IT
Toscana,IT
Trentino,IT
Umbria,IT
Valpolicella,IT
Valtellina,IT
Veneto,IT
Verdicchio dei Castelli di Jesi,IT
Vino Nobile di Montepulciano,IT
Bekaa Valley,LB
Central Otago,NZ
Hawke's Bay,NZ
Marlborough,NZ
Martinborough,NZ
Nelson,NZ
North Canterbury,NZ
Wairarapa,NZ
Alentejo,PT
Bairrada,PT
Colares,PT
Dão,PT
Douro,PT
Lisboa,PT
Madeira,PT
Porto,PT
Península de Setúbal,PT
Tejo,PT
Vinho Verde,PT
Brda,SI
Vipava Valley,SI
Constantia,ZA
Elgin,ZA
Franschhoek,ZA
Hemel-en-Aarde Valley,ZA
Paarl,ZA
Robertson,ZA
Stellenbosch,ZA
Swartland,ZA
Tulbagh,ZA
Walker Bay,ZA
Kent,GB
Sussex,GB
Alexander Valley,US
Anderson Valley,US
California,US
Calistoga,US
Columbia Valley,US
Dundee Hills,US
Eola-Amity Hills,US
Finger Lakes,US
Howell Mountain,US
Napa Valley,US
Oakville,US
Oregon,US
Paso Robles,US
Red Mountain,US
Ribbon Ridge,US
Russian River Valley,US
Rutherford,US
Santa Maria Valley,US
Santa Rita Hills,US
Santa Cruz Mountains,US
Sonoma Coast,US
Sonoma Valley,US
Stags Leap District,US
Walla Walla Valley,US
Washington,US
Willamette Valley,US
Yakima Valley,US
Canelones,UY
Maldonado,UY
