origin_id,country_code,country_de,country_fr,country_en,region_canonical,region_de,region_fr,region_en,appellation_canonical,record_level,appellation_type,legal_scheme,legal_status,source_authority,source_url,legal_basis_url,validated_on,auction_lots_observed,notes_de,notes_fr,notes_en
AT-ORI-WEINVIERTEL,AT,Österreich,Autriche,Austria,Niederösterreich,Niederösterreich,Basse-Autriche,Lower Austria,Weinviertel,appellation,DAC / EU PDO,EU PDO/PGI,protected_current,"European Commission, eAmbrosia GI Register",https://ec.europa.eu/agriculture/eambrosia/geographical-indications-register/,https://eur-lex.europa.eu/eli/reg/2024/1143/oj,2026-09-07,3,Geschützter bzw. regulierter Herkunftsname; der offizielle Eigenname wird nicht übersetzt.,Nom d'origine protégé ou réglementé; le nom propre officiel n'est pas traduit.,Protected or regulated origin name; the official proper name is not translated.
AT-ORI-STEIERMARK,AT,Österreich,Autriche,Austria,Steiermark,Steiermark,Styrie,Styria,Steiermark,appellation,g.U. / EU PDO,EU PDO/PGI,protected_current,"European Commission, eAmbrosia GI Register",https://ec.europa.eu/agriculture/eambrosia/geographical-indications-register/,https://eur-lex.europa.eu/eli/reg/2024/1143/oj,2026-09-07,0,Geschützter bzw. regulierter Herkunftsname; der offizielle Eigenname wird nicht übersetzt.,Nom d'origine protégé ou réglementé; le nom propre officiel n'est pas traduit.,Protected or regulated origin name; the official proper name is not translated.
AT-ORI-SUDSTEIERMARK,AT,Österreich,Autriche,Austria,Steiermark,Steiermark,Styrie,Styria,Südsteiermark,appellation,DAC / EU PDO,EU PDO/PGI,protected_current,"European Commission, eAmbrosia GI Register",https://ec.europa.eu/agriculture/eambrosia/geographical-indications-register/,https://eur-lex.europa.eu/eli/reg/2024/1143/oj,2026-09-07,63,Geschützter bzw. regulierter Herkunftsname; der offizielle Eigenname wird nicht übersetzt.,Nom d'origine protégé ou réglementé; le nom propre officiel n'est pas traduit.,Protected or regulated origin name; the official proper name is not translated.
AT-ORI-VULKANLAND-STEIERMARK,AT,Österreich,Autriche,Austria,Steiermark,Steiermark,Styrie,Styria,Vulkanland Steiermark,appellation,DAC / EU PDO,EU PDO/PGI,protected_current,"European Commission, eAmbrosia GI Register",https://ec.europa.eu/agriculture/eambrosia/geographical-indications-register/,https://eur-lex.europa.eu/eli/reg/2024/1143/oj,2026-09-07,0,Geschützter bzw. regulierter Herkunftsname; der offizielle Eigenname wird nicht übersetzt.,Nom d'origine protégé ou réglementé; le nom propre officiel n'est pas traduit.,Protected or regulated origin name; the official proper name is not translated.
AT-ORI-WESTSTEIERMARK,AT,Österreich,Autriche,Austria,Steiermark,Steiermark,Styrie,Styria,Weststeiermark,appellation,DAC / EU PDO,EU PDO/PGI,protected_current,"European Commission, eAmbrosia GI Register",https://ec.europa.eu/agriculture/eambrosia/geographical-indications-register/,https://eur-lex.europa.eu/eli/reg/2024/1143/oj,2026-09-07,0,Geschützter bzw. regulierter Herkunftsname; der offizielle Eigenname wird nicht übersetzt.,Nom d'origine protégé ou réglementé; le nom propre officiel n'est pas traduit.,Protected or regulated origin name; the official proper name is not translated.
AT-ORI-WIEN,AT,Österreich,Autriche,Austria,Wien,Wien,Wien,Wien,Wien,appellation,g.U. / EU PDO,EU PDO/PGI,protected_current,"European Commission, eAmbrosia GI Register",https://ec.europa.eu/agriculture/eambrosia/geographical-indications-register/,https://eur-lex.europa.eu/eli/reg/2024/1143/oj,2026-09-07,2,Geschützter bzw. regulierter Herkunftsname; der offizielle Eigenname wird nicht übersetzt.,Nom d'origine protégé ou réglementé; le nom propre officiel n'est pas traduit.,Protected or regulated origin name; the official proper name is not translated.
AT-ORI-WIENER-GEMISCHTER-SATZ,AT,Österreich,Autriche,Austria,Wien,Wien,Wien,Wien,Wiener Gemischter Satz,appellation,DAC / EU PDO,EU PDO/PGI,protected_current,"European Commission, eAmbrosia GI Register",https://ec.europa.eu/agriculture/eambrosia/geographical-indications-register/,https://eur-lex.europa.eu/eli/reg/2024/1143/oj,2026-09-07,0,Geschützter bzw. regulierter Herkunftsname; der offizielle Eigenname wird nicht übersetzt.,Nom d'origine protégé ou réglementé; le nom propre officiel n'est pas traduit.,Protected or regulated origin name; the official proper name is not translated.
AU-COUNTRY,AU,Australien,Australie,Australia,,,,,,country,Country of origin,Country-level origin,country_reference,Wine Australia,https://www.wineaustralia.com/labelling/register-of-protected-gis-and-other-terms/geographical-indications,https://www.legislation.gov.au/C2013A00161/latest/text,2026-09-07,5950,Länderangabe ohne verlässlich ableitbare Region oder Appellation.,Indication du pays sans région ni appellation pouvant être déduite de manière fiable.,Country indication without a region or appellation that can be derived reliably.
AU-REG-ALBURY,AU,Australien,Australie,Australia,Albury,Albury,Albury,Albury,,region,Wine region (not asserted as protected appellation),Australian GI,regional_reference_only,Wine Australia,https://www.wineaustralia.com/labelling/register-of-protected-gis-and-other-terms/geographical-indications,https://www.legislation.gov.au/C2013A00161/latest/text,2026-09-07,90,Als Weinregion für Hierarchie und Mapping geführt; nicht als geschützte Appellation behauptet.,Conservée comme région viticole pour la hiérarchie et le mapping; aucun statut d'appellation protégée n'est affirmé.,Retained as a wine-region reference for hierarchy and mapping; not asserted as a protected appellation.
AU-REG-BAROOTA,AU,Australien,Australie,Australia,Baroota,Baroota,Baroota,Baroota,,region,Wine region (not asserted as protected appellation),Australian GI,regional_reference_only,Wine Australia,https://www.wineaustralia.com/labelling/register-of-protected-gis-and-other-terms/geographical-indications,https://www.legislation.gov.au/C2013A00161/latest/text,2026-09-07,163,Als Weinregion für Hierarchie und Mapping geführt; nicht als geschützte Appellation behauptet.,Conservée comme région viticole pour la hiérarchie et le mapping; aucun statut d'appellation protégée n'est affirmé.,Retained as a wine-region reference for hierarchy and mapping; not asserted as a protected appellation.
AU-REG-BUNDABERG,AU,Australien,Australie,Australia,Bundaberg,Bundaberg,Bundaberg,Bundaberg,,region,Wine region (not asserted as protected appellation),Australian GI,regional_reference_only,Wine Australia,https://www.wineaustralia.com/labelling/register-of-protected-gis-and-other-terms/geographical-indications,https://www.legislation.gov.au/C2013A00161/latest/text,2026-09-07,445,Als Weinregion für Hierarchie und Mapping geführt; nicht als geschützte Appellation behauptet.,Conservée comme région viticole pour la hiérarchie et le mapping; aucun statut d'appellation protégée n'est affirmé.,Retained as a wine-region reference for hierarchy and mapping; not asserted as a protected appellation.
AU-REG-CENTRAL-HIGHLANDS-NSW,AU,Australien,Australie,Australia,Central Highlands NSW,Central Highlands NSW,Central Highlands NSW,Central Highlands NSW,,region,Wine region (not asserted as protected appellation),Australian GI,regional_reference_only,Wine Australia,https://www.wineaustralia.com/labelling/register-of-protected-gis-and-other-terms/geographical-indications,https://www.legislation.gov.au/C2013A00161/latest/text,2026-09-07,67,Als Weinregion für Hierarchie und Mapping geführt; nicht als geschützte Appellation behauptet.,Conservée comme région viticole pour la hiérarchie et le mapping; aucun statut d'appellation protégée n'est affirmé.,Retained as a wine-region reference for hierarchy and mapping; not asserted as a protected appellation.
AU-REG-CENTRAL-VICTORIAN-MOUNTAIN-COUNTRY,AU,Australien,Australie,Australia,Central Victorian Mountain Country,Central Victorian Mountain Country,Central Victorian Mountain Country,Central Victorian Mountain Country,,region,Wine region (not asserted as protected appellation),Australian GI,regional_reference_only,Wine Australia,https://www.wineaustralia.com/labelling/register-of-protected-gis-and-other-terms/geographical-indications,https://www.legislation.gov.au/C2013A00161/latest/text,2026-09-07,680,Als Weinregion für Hierarchie und Mapping geführt; nicht als geschützte Appellation behauptet.,Conservée comme région viticole pour la hiérarchie et le mapping; aucun statut d'appellation protégée n'est affirmé.,Retained as a wine-region reference for hierarchy and mapping; not asserted as a protected appellation.
AU-REG-COAL-RIVER-VALLEY-TASMANIA,AU,Australien,Australie,Australia,Coal River Valley Tasmania,Coal River Valley Tasmania,Coal River Valley Tasmania,Coal River Valley Tasmania,,region,Wine region (not asserted as protected appellation),Australian GI,regional_reference_only,Wine Australia,https://www.wineaustralia.com/labelling/register-of-protected-gis-and-other-terms/geographical-indications,https://www.legislation.gov.au/C2013A00161/latest/text,2026-09-07,2127,Als Weinregion für Hierarchie und Mapping geführt; nicht als geschützte Appellation behauptet.,Conservée comme région viticole pour la hiérarchie et le mapping; aucun statut d'appellation protégée n'est affirmé.,Retained as a wine-region reference for hierarchy and mapping; not asserted as a protected appellation.
AU-REG-DERWENT-VALLEY,AU,Australien,Australie,Australia,Derwent Valley,Derwent Valley,Derwent Valley,Derwent Valley,,region,Wine region (not asserted as protected appellation),Australian GI,regional_reference_only,Wine Australia,https://www.wineaustralia.com/labelling/register-of-protected-gis-and-other-terms/geographical-indications,https://www.legislation.gov.au/C2013A00161/latest/text,2026-09-07,1242,Als Weinregion für Hierarchie und Mapping geführt; nicht als geschützte Appellation behauptet.,Conservée comme région viticole pour la hiérarchie et le mapping; aucun statut d'appellation protégée n'est affirmé.,Retained as a wine-region reference for hierarchy and mapping; not asserted as a protected appellation.
AU-REG-EASTERN-TASMANIA,AU,Australien,Australie,Australia,Eastern Tasmania,Eastern Tasmania,Eastern Tasmania,Eastern Tasmania,,region,Wine region (not asserted as protected appellation),Australian GI,regional_reference_only,Wine Australia,https://www.wineaustralia.com/labelling/register-of-protected-gis-and-other-terms/geographical-indications,https://www.legislation.gov.au/C2013A00161/latest/text,2026-09-07,1193,Als Weinregion für Hierarchie und Mapping geführt; nicht als geschützte Appellation behauptet.,Conservée comme région viticole pour la hiérarchie et le mapping; aucun statut d'appellation protégée n'est affirmé.,Retained as a wine-region reference for hierarchy and mapping; not asserted as a protected appellation.
AU-REG-FERGUSON-VALLEY,AU,Australien,Australie,Australia,Ferguson Valley,Ferguson Valley,Ferguson Valley,Ferguson Valley,,region,Wine region (not asserted as protected appellation),Australian GI,regional_reference_only,Wine Australia,https://www.wineaustralia.com/labelling/register-of-protected-gis-and-other-terms/geographical-indications,https://www.legislation.gov.au/C2013A00161/latest/text,2026-09-07,53,Als Weinregion für Hierarchie und Mapping geführt; nicht als geschützte Appellation behauptet.,Conservée comme région viticole pour la hiérarchie et le mapping; aucun statut d'appellation protégée n'est affirmé.,Retained as a wine-region reference for hierarchy and mapping; not asserted as a protected appellation.
AU-REG-FLAXMAN-VALLEY,AU,Australien,Australie,Australia,Flaxman Valley,Flaxman Valley,Flaxman Valley,Flaxman Valley,,region,Wine region (not asserted as protected appellation),Australian GI,regional_reference_only,Wine Australia,https://www.wineaustralia.com/labelling/register-of-protected-gis-and-other-terms/geographical-indications,https://www.legislation.gov.au/C2013A00161/latest/text,2026-09-07,101,Als Weinregion für Hierarchie und Mapping geführt; nicht als geschützte Appellation behauptet.,Conservée comme région viticole pour la hiérarchie et le mapping; aucun statut d'appellation protégée n'est affirmé.,Retained as a wine-region reference for hierarchy and mapping; not asserted as a protected appellation.
AU-REG-HUON-VALLEY,AU,Australien,Australie,Australia,Huon Valley,Huon Valley,Huon Valley,Huon Valley,,region,Wine region (not asserted as protected appellation),Australian GI,regional_reference_only,Wine Australia,https://www.wineaustralia.com/labelling/register-of-protected-gis-and-other-terms/geographical-indications,https://www.legislation.gov.au/C2013A00161/latest/text,2026-09-07,591,Als Weinregion für Hierarchie und Mapping geführt; nicht als geschützte Appellation behauptet.,Conservée comme région viticole pour la hiérarchie et le mapping; aucun statut d'appellation protégée n'est affirmé.,Retained as a wine-region reference for hierarchy and mapping; not asserted as a protected appellation.
AU-REG-KALIMNA,AU,Australien,Australie,Australia,Kalimna,Kalimna,Kalimna,Kalimna,,region,Wine region (not asserted as protected appellation),Australian GI,regional_reference_only,Wine Australia,https://www.wineaustralia.com/labelling/register-of-protected-gis-and-other-terms/geographical-indications,https://www.legislation.gov.au/C2013A00161/latest/text,2026-09-07,95,Als Weinregion für Hierarchie und Mapping geführt; nicht als geschützte Appellation behauptet.,Conservée comme région viticole pour la hiérarchie et le mapping; aucun statut d'appellation protégée n'est affirmé.,Retained as a wine-region reference for hierarchy and mapping; not asserted as a protected appellation.
AU-REG-MCLAREN-FLAT,AU,Australien,Australie,Australia,McLaren Flat,McLaren Flat,McLaren Flat,McLaren Flat,,region,Wine region (not asserted as protected appellation),Australian GI,regional_reference_only,Wine Australia,https://www.wineaustralia.com/labelling/register-of-protected-gis-and-other-terms/geographical-indications,https://www.legislation.gov.au/C2013A00161/latest/text,2026-09-07,65,Als Weinregion für Hierarchie und Mapping geführt; nicht als geschützte Appellation behauptet.,Conservée comme région viticole pour la hiérarchie et le mapping; aucun statut d'appellation protégée n'est affirmé.,Retained as a wine-region reference for hierarchy and mapping; not asserted as a protected appellation.
AU-REG-MELBOURNE,AU,Australien,Australie,Australia,Melbourne,Melbourne,Melbourne,Melbourne,,region,Wine region (not asserted as protected appellation),Australian GI,regional_reference_only,Wine Australia,https://www.wineaustralia.com/labelling/register-of-protected-gis-and-other-terms/geographical-indications,https://www.legislation.gov.au/C2013A00161/latest/text,2026-09-07,172,Als Weinregion für Hierarchie und Mapping geführt; nicht als geschützte Appellation behauptet.,Conservée comme région viticole pour la hiérarchie et le mapping; aucun statut d'appellation protégée n'est affirmé.,Retained as a wine-region reference for hierarchy and mapping; not asserted as a protected appellation.
AU-ORI-CANBERRA-DISTRICT,AU,Australien,Australie,Australia,New South Wales,New South Wales,Nouvelle-Galles du Sud,New South Wales,Canberra District,appellation,Protected wine GI,Australian GI,protected_current,Wine Australia,https://www.wineaustralia.com/labelling/register-of-protected-gis-and-other-terms/geographical-indications,https://www.legislation.gov.au/C2013A00161/latest/text,2026-09-07,12661,Geschützter bzw. regulierter Herkunftsname; der offizielle Eigenname wird nicht übersetzt.,Nom d'origine protégé ou réglementé; le nom propre officiel n'est pas traduit.,Protected or regulated origin name; the official proper name is not translated.
AU-ORI-CENTRAL-RANGES,AU,Australien,Australie,Australia,New South Wales,New South Wales,Nouvelle-Galles du Sud,New South Wales,Central Ranges,appellation,Protected wine GI,Australian GI,protected_current,Wine Australia,https://www.wineaustralia.com/labelling/register-of-protected-gis-and-other-terms/geographical-indications,https://www.legislation.gov.au/C2013A00161/latest/text,2026-09-07,1653,Geschützter bzw. regulierter Herkunftsname; der offizielle Eigenname wird nicht übersetzt.,Nom d'origine protégé ou réglementé; le nom propre officiel n'est pas traduit.,Protected or regulated origin name; the official proper name is not translated.
AU-ORI-COWRA,AU,Australien,Australie,Australia,New South Wales,New South Wales,Nouvelle-Galles du Sud,New South Wales,Cowra,appellation,Protected wine GI,Australian GI,protected_current,Wine Australia,https://www.wineaustralia.com/labelling/register-of-protected-gis-and-other-terms/geographical-indications,https://www.legislation.gov.au/C2013A00161/latest/text,2026-09-07,255,Geschützter bzw. regulierter Herkunftsname; der offizielle Eigenname wird nicht übersetzt.,Nom d'origine protégé ou réglementé; le nom propre officiel n'est pas traduit.,Protected or regulated origin name; the official proper name is not translated.
AU-ORI-GUNDAGAI,AU,Australien,Australie,Australia,New South Wales,New South Wales,Nouvelle-Galles du Sud,New South Wales,Gundagai,appellation,Protected wine GI,Australian GI,protected_current,Wine Australia,https://www.wineaustralia.com/labelling/register-of-protected-gis-and-other-terms/geographical-indications,https://www.legislation.gov.au/C2013A00161/latest/text,2026-09-07,224,Geschützter bzw. regulierter Herkunftsname; der offizielle Eigenname wird nicht übersetzt.,Nom d'origine protégé ou réglementé; le nom propre officiel n'est pas traduit.,Protected or regulated origin name; the official proper name is not translated.
